,document_title,question_text,short_answer1,short_answer2,short_answer3,short_answer4,yes_no_answer1,yes_no_answer2,yes_no_answer3,yes_no_answer4
151,The Strangers: Prey at Night,where was the movie strangers prey at night filmed,"{'end_byte': 75796, 'end_token': 1980, 'start_byte': 75777, 'start_token': 1977}","{'end_byte': 75796, 'end_token': 1980, 'start_byte': 75777, 'start_token': 1977}","{'end_byte': 75796, 'end_token': 1980, 'start_byte': 75777, 'start_token': 1977}",,NONE,NONE,NONE,
152,Rain shadow,what effect do the atlas mountains have on rainfall,,,,,,,,
153,List of Marvel Cinematic Universe films,what order do the captain america movies go in,"{'end_byte': 212362, 'end_token': 10144, 'start_byte': 212328, 'start_token': 10138}",,,,,,,
154,Limit of a function,when does a limit of a function not exist,"{'end_byte': 75450, 'end_token': 818, 'start_byte': 75359, 'start_token': 801}","{'end_byte': 75450, 'end_token': 818, 'start_byte': 75359, 'start_token': 801}",,,NONE,NONE,,
155,I Don't Like Mondays,when was i don't like mondays released,"{'end_byte': 44234, 'end_token': 81, 'start_byte': 44222, 'start_token': 78}","{'end_byte': 44234, 'end_token': 81, 'start_byte': 44222, 'start_token': 78}","{'end_byte': 47401, 'end_token': 287, 'start_byte': 47397, 'start_token': 286}",,NONE,NONE,NONE,
156,B-type main-sequence star,if a star is class b what is its temperature,,,,,,,,
157,Remote Play,what ps3 games are compatible with remote play,,,,,,,,
158,Robert Carradine,pictures of the cast of revenge of the nerds,,,,,,,,
159,World economy,what do the economic systems of the uk germany and russia have in common,"{'end_byte': 49048, 'end_token': 508, 'start_byte': 48973, 'start_token': 492}",,,,,,,
160,Flag of Uruguay,what does the sun represent on the uruguay flag,"{'end_byte': 60375, 'end_token': 397, 'start_byte': 60280, 'start_token': 391}","{'end_byte': 60375, 'end_token': 397, 'start_byte': 60291, 'start_token': 392}","{'end_byte': 60375, 'end_token': 397, 'start_byte': 60291, 'start_token': 392}",,NONE,NONE,NONE,
161,The Originals (season 2),who dies in season 2 of the originals,"{'end_byte': 75706, 'end_token': 3416, 'start_byte': 75703, 'start_token': 3415}","{'end_byte': 75706, 'end_token': 3416, 'start_byte': 75703, 'start_token': 3415}",,,NONE,NONE,,
162,Nix v. Hedden,pizza is defined as a vegetable in the united states,,,,,,,,
163,Beryl Markham,when did beryl markham fly across the atlantic,"{'end_byte': 65748, 'end_token': 955, 'start_byte': 65734, 'start_token': 953}","{'end_byte': 65748, 'end_token': 955, 'start_byte': 65732, 'start_token': 952}","{'end_byte': 65748, 'end_token': 955, 'start_byte': 65732, 'start_token': 952}","{'end_byte': 65748, 'end_token': 955, 'start_byte': 65732, 'start_token': 952}",NONE,NONE,NONE,NONE
164,Tropic of Cancer,what are the states through which the tropic of cancer passes,,,,,,,,
165,List of NYPD Blue characters,who played john clark sr on nypd blue,"{'end_byte': 112107, 'end_token': 8268, 'start_byte': 112098, 'start_token': 8266}","{'end_byte': 112107, 'end_token': 8268, 'start_byte': 112098, 'start_token': 8266}","{'end_byte': 112107, 'end_token': 8268, 'start_byte': 112098, 'start_token': 8266}","{'end_byte': 112107, 'end_token': 8268, 'start_byte': 112098, 'start_token': 8266}",NONE,NONE,NONE,NONE
166,Parable of the Pearl,what does the pearl symbolize in the bible,,,,,,,,
167,Mom and Dad (2017 film),where is mom and dad or where are mom and dad,,,,,,,,
168,Boom (P.O.D. song),when did the song here comes the boom come out,"{'end_byte': 48655, 'end_token': 266, 'start_byte': 48647, 'start_token': 264}","{'end_byte': 44882, 'end_token': 56, 'start_byte': 44868, 'start_token': 52}",,,NONE,NONE,,
169,Archie Marries Veronica/Archie Marries Betty,does archie end up with betty or veronica in riverdale,"{'end_byte': 50313, 'end_token': 396, 'start_byte': 50308, 'start_token': 395}","{'end_byte': 93014, 'end_token': 5588, 'start_byte': 92939, 'start_token': 5575}",,,NONE,NONE,,
170,4-bolt main,what is the difference between a chevy 2 bolt main and a 4 bolt main,,,,,,,,
171,United States Declaration of Independence,who wrote most of the declaration of independance,"{'end_byte': 58228, 'end_token': 90, 'start_byte': 58212, 'start_token': 88}","{'end_byte': 99802, 'end_token': 3719, 'start_byte': 99786, 'start_token': 3717}","{'end_byte': 99802, 'end_token': 3719, 'start_byte': 99786, 'start_token': 3717}","{'end_byte': 63190, 'end_token': 472, 'start_byte': 63174, 'start_token': 470}",NONE,NONE,NONE,NONE
172,Afro-Eurasia,when did african isolation from the european old world occur,,,,,,,,
173,Brant Daugherty,who does brant daugherty play in pretty little liars,"{'end_byte': 56896, 'end_token': 125, 'start_byte': 56887, 'start_token': 123}","{'end_byte': 56896, 'end_token': 125, 'start_byte': 56887, 'start_token': 123}","{'end_byte': 56896, 'end_token': 125, 'start_byte': 56887, 'start_token': 123}","{'end_byte': 56896, 'end_token': 125, 'start_byte': 56887, 'start_token': 123}",NONE,NONE,NONE,NONE
174,Judicial review,how does the power of judicial review check the legislative and executive branches,"{'end_byte': 53820, 'end_token': 144, 'start_byte': 53730, 'start_token': 131}",,,,,,,
175,Jason Gilkison,who is the choreographer for strictly come dancing,,,,,,,,
176,Green Room (White House),pictures of the green room in the white house,,,,,,,,
177,Vitruvian Man,who explained the workings of the human body,,,,,,,,
178,I Can Only Imagine (film),who played amy grant i i can only imagine,"{'end_byte': 68630, 'end_token': 1331, 'start_byte': 68617, 'start_token': 1329}","{'end_byte': 68630, 'end_token': 1331, 'start_byte': 68617, 'start_token': 1329}",,,NONE,NONE,,
179,Natural-language processing,art of learning from text objects or speech,"{'end_byte': 56422, 'end_token': 79, 'start_byte': 56378, 'start_token': 72}","{'end_byte': 56422, 'end_token': 79, 'start_byte': 56378, 'start_token': 72}",,,NONE,NONE,,
180,Economy of India,india gdp growth rate in last 10 years,"{'end_byte': 67150, 'end_token': 949, 'start_byte': 67118, 'start_token': 941}",,,,,,,
181,Climate of the United States,the climate of the united states can be best described as,,,,,,,,
182,Visa requirements for South African citizens,does a south african passport need a visa for singapore,,,,,,,,
183,Tiger Zinda Hai,who played the villain in tiger zinda hai,"{'end_byte': 55355, 'end_token': 862, 'start_byte': 55339, 'start_token': 860}","{'end_byte': 55355, 'end_token': 862, 'start_byte': 55339, 'start_token': 860}",,,NONE,NONE,,
184,The Legend of Zelda: Majora's Mask,how long is a day in majora's mask,,,,,,,,
185,Here We Go Round the Mulberry Bush,here we go round the mulberry bush origin,,,,,,,,
186,From Under the Cork Tree,when did under the cork tree come out,"{'end_byte': 62371, 'end_token': 318, 'start_byte': 62360, 'start_token': 314}","{'end_byte': 62371, 'end_token': 318, 'start_byte': 62360, 'start_token': 314}","{'end_byte': 62371, 'end_token': 318, 'start_byte': 62360, 'start_token': 314}","{'end_byte': 62371, 'end_token': 318, 'start_byte': 62360, 'start_token': 314}",NONE,NONE,NONE,NONE
187,Division of Korea,when did korea separate into north and south,"{'end_byte': 54822, 'end_token': 510, 'start_byte': 54818, 'start_token': 509}","{'end_byte': 54822, 'end_token': 510, 'start_byte': 54818, 'start_token': 509}","{'end_byte': 66893, 'end_token': 1354, 'start_byte': 66879, 'start_token': 1351}",,NONE,NONE,NONE,
188,Atom,who discovered the atom and in what year,"{'end_byte': 66328, 'end_token': 1095, 'start_byte': 66317, 'start_token': 1093}",,,,,,,
189,Esophagus,what is the purpose of the muscles that line the esophagus,"{'end_byte': 97882, 'end_token': 2581, 'start_byte': 97850, 'start_token': 2575}","{'end_byte': 97882, 'end_token': 2581, 'start_byte': 97850, 'start_token': 2575}",,,NONE,NONE,,
190,Appropriation bill,creating appropriation bills falls under which power of congress,"{'end_byte': 69458, 'end_token': 1129, 'start_byte': 69443, 'start_token': 1127}",,,,,,,
191,Wonder (film),who is the movie wonder based off of,,,,,,,,
192,Round steak,where does eye of the round roast come from,"{'end_byte': 59631, 'end_token': 125, 'start_byte': 59608, 'start_token': 119}","{'end_byte': 59631, 'end_token': 125, 'start_byte': 59608, 'start_token': 119}","{'end_byte': 59631, 'end_token': 125, 'start_byte': 59608, 'start_token': 119}",,NONE,NONE,NONE,
193,Let Me Love You (DJ Snake song),who sings the song let me love you,"{'end_byte': 49193, 'end_token': 366, 'start_byte': 49180, 'start_token': 364}","{'end_byte': 49193, 'end_token': 366, 'start_byte': 49180, 'start_token': 364}","{'end_byte': 43720, 'end_token': 52, 'start_byte': 43632, 'start_token': 47}",,NONE,NONE,NONE,
194,Minority rights,a resolution on the rights of minorities by congress was initiated by,,,,,,,,
195,List of Lost Girl episodes,how many seasons are there for lost girl,"{'end_byte': 39723, 'end_token': 36, 'start_byte': 39719, 'start_token': 35}","{'end_byte': 48542, 'end_token': 650, 'start_byte': 48541, 'start_token': 649}","{'end_byte': 39723, 'end_token': 36, 'start_byte': 39719, 'start_token': 35}",,NONE,NONE,NONE,
196,Wool,who is the leading african producer of wool,"{'end_byte': 107046, 'end_token': 3909, 'start_byte': 107034, 'start_token': 3907}",,,,,,,
197,Demography of the United States,what percentage of the us population is over 50,,,,,,,,
198,Man overboard,the key to rescuing a man overboard is,,,,,,,,
199,1917–18 NHL season,where was the first nhl hockey game played,"{'end_byte': 62001, 'end_token': 1744, 'start_byte': 61993, 'start_token': 1743}","{'end_byte': 61022, 'end_token': 1653, 'start_byte': 61016, 'start_token': 1652}",,,NONE,NONE,,
200,A Place to Call Home (season 5),who dies in a place to call home,,,,,,,,
201,iPhone 5S,how many inches is the iphone 5s screen,"{'end_byte': 115251, 'end_token': 5020, 'start_byte': 115233, 'start_token': 5015}","{'end_byte': 93238, 'end_token': 2992, 'start_byte': 93233, 'start_token': 2990}","{'end_byte': 93247, 'end_token': 2996, 'start_byte': 93233, 'start_token': 2990}",,NONE,NONE,NONE,
202,Apoptosis,where do the signals for apoptosis come from,"{'end_byte': 60217, 'end_token': 381, 'start_byte': 60201, 'start_token': 378}",,,,,,,
203,Someone Saved My Life Tonight,meaning of song someone saved my life tonight,,,,,,,,
204,History of Delhi,who made delhi as capital for the first time,,,,,,,,
205,List of Australian capital cities,what was the first capital city of australia,"{'end_byte': 56290, 'end_token': 50, 'start_byte': 56281, 'start_token': 49}","{'end_byte': 63656, 'end_token': 298, 'start_byte': 63650, 'start_token': 297}","{'end_byte': 63598, 'end_token': 295, 'start_byte': 63583, 'start_token': 292}","{'end_byte': 56290, 'end_token': 50, 'start_byte': 56281, 'start_token': 49}",NONE,NONE,NONE,NONE
206,2017 NCAA Division I Women's Basketball Tournament,who won the womens 2017 ncaa basketball tournament,"{'end_byte': 61051, 'end_token': 286, 'start_byte': 61037, 'start_token': 284}","{'end_byte': 61051, 'end_token': 286, 'start_byte': 61037, 'start_token': 284}","{'end_byte': 61051, 'end_token': 286, 'start_byte': 61037, 'start_token': 284}","{'end_byte': 61051, 'end_token': 286, 'start_byte': 61037, 'start_token': 284}",NONE,NONE,NONE,NONE
207,List of Ray Donovan episodes,how many episodes of ray donovan series 3 are there,"{'end_byte': 94384, 'end_token': 6771, 'start_byte': 94382, 'start_token': 6770}","{'end_byte': 43176, 'end_token': 279, 'start_byte': 43174, 'start_token': 278}","{'end_byte': 43176, 'end_token': 279, 'start_byte': 43174, 'start_token': 278}","{'end_byte': 43176, 'end_token': 279, 'start_byte': 43174, 'start_token': 278}",NONE,NONE,NONE,NONE
208,Bob Barker,what game show host has a black belt,,,,,,,,
209,Georges Clemenceau,at one point during the first world war the french prime minister,,,,,,,,
210,Daylight saving time in Canada,when does canada switch to daylight savings time,"{'end_byte': 44359, 'end_token': 176, 'start_byte': 44333, 'start_token': 171}","{'end_byte': 44359, 'end_token': 176, 'start_byte': 44333, 'start_token': 171}",,,NONE,NONE,,
211,Jack Ryan (character),where does jack ryan live in patriot games,"{'end_byte': 68994, 'end_token': 2309, 'start_byte': 68944, 'start_token': 2301}","{'end_byte': 55197, 'end_token': 911, 'start_byte': 55132, 'start_token': 908}","{'end_byte': 68994, 'end_token': 2309, 'start_byte': 68944, 'start_token': 2301}",,NONE,NONE,NONE,
212,Objective correlative,who gave the famous objective co relative theory,"{'end_byte': 54592, 'end_token': 131, 'start_byte': 54582, 'start_token': 129}","{'end_byte': 54592, 'end_token': 131, 'start_byte': 54582, 'start_token': 129}","{'end_byte': 54592, 'end_token': 131, 'start_byte': 54582, 'start_token': 129}","{'end_byte': 54592, 'end_token': 131, 'start_byte': 54491, 'start_token': 125}",NONE,NONE,NONE,NONE
213,Mandy (name),what is the meaning of the name mandy,"{'end_byte': 42053, 'end_token': 63, 'start_byte': 42046, 'start_token': 62}","{'end_byte': 42053, 'end_token': 63, 'start_byte': 42046, 'start_token': 62}","{'end_byte': 42053, 'end_token': 63, 'start_byte': 42046, 'start_token': 62}",,NONE,NONE,NONE,
214,Paleomagnetism,paleomagnetism is a dating method based on changes in the earth's polarity as demonstrated by,,,,,,,,
215,ATX,atx cases are compatible with which type of motherboard,,,,,,,,
216,Cable-stayed bridge,when did cable stayed bridges increase in popularity,,,,,,,,
217,Newman's Own,does newman's own really give all profits to charity,,,,,,,,
218,Lee Thompson Young,what happened to the actor who played frost on rizzoli and isles,"{'end_byte': 67134, 'end_token': 903, 'start_byte': 67117, 'start_token': 901}",,,,,,,
219,Movement for the Restoration of the Ten Commandments of God,movement for the restoration of the 10 commandments,,,,,,,,
220,Son of Beast,is the son of the beast still at kings island,,,,,,,,
221,Celebratory gunfire,where do bullets go when fired in the air,"{'end_byte': 47138, 'end_token': 321, 'start_byte': 47078, 'start_token': 310}",,,,,,,
222,Fargo (film),what true story is the movie fargo based on,,,,,,,,
223,Hierarchy of the Catholic Church,who was the highest ranking official in the early christian church,"{'end_byte': 103036, 'end_token': 2644, 'start_byte': 102979, 'start_token': 2634}",,,,,,,
224,Keep Calm and Carry On,where did the keep calm thing come from,"{'end_byte': 56671, 'end_token': 108, 'start_byte': 56363, 'start_token': 92}","{'end_byte': 56671, 'end_token': 108, 'start_byte': 56429, 'start_token': 93}",,,NONE,NONE,,
225,Domain (biology),which domain of life are humans members of,"{'end_byte': 62671, 'end_token': 799, 'start_byte': 62664, 'start_token': 798}",,,,,,,
226,NFL Game Pass,when do replays become available on nfl game pass,"{'end_byte': 43107, 'end_token': 136, 'start_byte': 43067, 'start_token': 130}","{'end_byte': 43107, 'end_token': 136, 'start_byte': 43067, 'start_token': 130}","{'end_byte': 43107, 'end_token': 136, 'start_byte': 43067, 'start_token': 130}","{'end_byte': 43107, 'end_token': 136, 'start_byte': 43010, 'start_token': 120}",NONE,NONE,NONE,NONE
227,Perry (surname),where does the last name perry come from,"{'end_byte': 55694, 'end_token': 111, 'start_byte': 55657, 'start_token': 104}",,,,,,,
228,Bacterial taxonomy,what is the taxonomical significance of the gram stain method,,,,,,,,
229,Warren Court,the warren court ruled that constitutional protections did not extend to prisoners,,,,,,,,
230,Cylon (reimagining),who are the 12 cylons in battlestar galactica,,,,,,,,
231,Jurassic World Evolution,when is the new jurassic world game coming out,"{'end_byte': 58099, 'end_token': 168, 'start_byte': 58086, 'start_token': 164}","{'end_byte': 58099, 'end_token': 168, 'start_byte': 58086, 'start_token': 164}","{'end_byte': 58099, 'end_token': 168, 'start_byte': 58086, 'start_token': 164}","{'end_byte': 58099, 'end_token': 168, 'start_byte': 58086, 'start_token': 164}",NONE,NONE,NONE,NONE
232,Triple Entente,what was the alliance between great britian russia and france known as,"{'end_byte': 55897, 'end_token': 26, 'start_byte': 55876, 'start_token': 23}","{'end_byte': 55897, 'end_token': 26, 'start_byte': 55876, 'start_token': 23}","{'end_byte': 55897, 'end_token': 26, 'start_byte': 55876, 'start_token': 23}","{'end_byte': 55897, 'end_token': 26, 'start_byte': 55876, 'start_token': 23}",NONE,NONE,NONE,NONE
233,List of The Doctor Blake Mysteries episodes,dr blake mysteries the ties of the past cast,,,,,,,,
234,"List of participants to Paris Peace Conference, 1919",who was invited to the peace talks in versailles,,,,,,,,
235,Capital punishment in Oregon,when was the death penalty reinstated in oregon,"{'end_byte': 63220, 'end_token': 1084, 'start_byte': 63216, 'start_token': 1083}",,,,,,,
236,Bill of lading,difference between straight and order bill of lading,,,,,,,,
237,Third Rome,after the fall of constantinople in 1453 moscow became known as the third rome,,,,,,,,
238,ICQ,what was icq as related to instant messaging,"{'end_byte': 46918, 'end_token': 226, 'start_byte': 46601, 'start_token': 209}","{'end_byte': 46722, 'end_token': 213, 'start_byte': 46601, 'start_token': 209}","{'end_byte': 47743, 'end_token': 333, 'start_byte': 47701, 'start_token': 327}",,NONE,NONE,NONE,
239,The Riveras,when does season 3 of the riveras start,"{'end_byte': 65453, 'end_token': 750, 'start_byte': 65437, 'start_token': 746}","{'end_byte': 65453, 'end_token': 750, 'start_byte': 65437, 'start_token': 746}","{'end_byte': 65453, 'end_token': 750, 'start_byte': 65437, 'start_token': 746}","{'end_byte': 65453, 'end_token': 750, 'start_byte': 65437, 'start_token': 746}",NONE,NONE,NONE,NONE
240,Rivers in Himachal Pradesh,chandra and bhaga river meets at the place,"{'end_byte': 58669, 'end_token': 238, 'start_byte': 58595, 'start_token': 234}","{'end_byte': 58669, 'end_token': 238, 'start_byte': 58595, 'start_token': 234}","{'end_byte': 58669, 'end_token': 238, 'start_byte': 58595, 'start_token': 234}",,NONE,NONE,NONE,
241,American Civil War,who took part in the american civil war,"{'end_byte': 69863, 'end_token': 505, 'start_byte': 69760, 'start_token': 501}",,,,,,,
242,Cartilaginous joint,all types of joints allow for the same range of motion,,,,,,,,
243,"The Source Presents: Hip Hop Hits, Vol. 4",the source presents hip hop hits vol. 4 songs,,,,,,,,
244,The Passion of the Christ,when do subtitles start in the passion of the christ,,,,,,,,
245,Flag of India,when was the national flag of india adopted,"{'end_byte': 59060, 'end_token': 198, 'start_byte': 58905, 'start_token': 186}","{'end_byte': 59060, 'end_token': 198, 'start_byte': 59048, 'start_token': 195}","{'end_byte': 59060, 'end_token': 198, 'start_byte': 59048, 'start_token': 195}","{'end_byte': 59060, 'end_token': 198, 'start_byte': 59048, 'start_token': 195}",NONE,NONE,NONE,NONE
246,What Christmas Means to Me,stevie wonder that's what christmas means to me,,,,,,,,
247,New Kingdom of Egypt,what was the most important new religious figure of the new kingdom of ancient egypt,"{'end_byte': 106497, 'end_token': 2064, 'start_byte': 106409, 'start_token': 2053}",,,,,,,
248,Education in Bangladesh,paragraph the problem of higher education in bangladesh,,,,,,,,
249,Chernobyl disaster,what happened at the chernobyl nuclear power plant,,,,,,,,
250,Movable type,who is often associated with printing the first book using moveable type in germany,"{'end_byte': 96729, 'end_token': 4155, 'start_byte': 96711, 'start_token': 4153}","{'end_byte': 96729, 'end_token': 4155, 'start_byte': 96711, 'start_token': 4153}","{'end_byte': 51698, 'end_token': 509, 'start_byte': 51680, 'start_token': 507}","{'end_byte': 96729, 'end_token': 4155, 'start_byte': 96711, 'start_token': 4153}",NONE,NONE,NONE,NONE
251,My Life (Billy Joel song),who sang the song angel of my life,,,,,,,,
252,Electrical conduction system of the heart,when does the sa node begin electrical signaling,"{'end_byte': 62851, 'end_token': 1355, 'start_byte': 62838, 'start_token': 1354}","{'end_byte': 62861, 'end_token': 1356, 'start_byte': 62838, 'start_token': 1354}",,,NONE,NONE,,
253,Traveling Wilburys,who are the artists in the traveling wilburys,"{'end_byte': 45712, 'end_token': 180, 'start_byte': 45703, 'start_token': 178}","{'end_byte': 45712, 'end_token': 180, 'start_byte': 45703, 'start_token': 178}","{'end_byte': 45712, 'end_token': 180, 'start_byte': 45703, 'start_token': 178}","{'end_byte': 45712, 'end_token': 180, 'start_byte': 45703, 'start_token': 178}",NONE,NONE,NONE,NONE
254,300: Rise of an Empire,who plays artemisia in 300 rise of an empire,"{'end_byte': 73414, 'end_token': 1595, 'start_byte': 73405, 'start_token': 1593}","{'end_byte': 73414, 'end_token': 1595, 'start_byte': 73405, 'start_token': 1593}","{'end_byte': 73414, 'end_token': 1595, 'start_byte': 73405, 'start_token': 1593}",,NONE,NONE,NONE,
255,List of most streamed songs on Spotify,who is the most played artist on spotify,"{'end_byte': 46969, 'end_token': 326, 'start_byte': 46959, 'start_token': 324}","{'end_byte': 44057, 'end_token': 96, 'start_byte': 44047, 'start_token': 94}",,,NONE,NONE,,
256,Cell damage,which term describes the replacement of damaged cells to mend a tissue,"{'end_byte': 57579, 'end_token': 1233, 'start_byte': 57566, 'start_token': 1231}",,,,,,,
257,Ploidy,where are haploid cells found in the human body,"{'end_byte': 64664, 'end_token': 2109, 'start_byte': 64659, 'start_token': 2108}","{'end_byte': 45823, 'end_token': 317, 'start_byte': 45765, 'start_token': 313}",,,NONE,NONE,,
258,As the Palaces Burn,lamb of god as the palaces burn album,,,,,,,,
259,Earth,form from material that has accumulated on the earths surface,"{'end_byte': 175618, 'end_token': 5679, 'start_byte': 175602, 'start_token': 5677}",,,,,,,
260,The Opposition with Jordan Klepper,where is the opposition with jordan klepper filmed,"{'end_byte': 58736, 'end_token': 201, 'start_byte': 58699, 'start_token': 195}","{'end_byte': 58736, 'end_token': 201, 'start_byte': 58699, 'start_token': 195}","{'end_byte': 58736, 'end_token': 201, 'start_byte': 58699, 'start_token': 195}",,NONE,NONE,NONE,
261,Olivia (Twelfth Night),how does olivia secure the love of the man she believes to be cesario,"{'end_byte': 48949, 'end_token': 547, 'start_byte': 48913, 'start_token': 541}",,,,,,,
262,New York Giants,when is the last time the new york giants won the super bowl,"{'end_byte': 59060, 'end_token': 897, 'start_byte': 59055, 'start_token': 895}",,,,,,,
263,Step Up (franchise),when is the next step up movie coming out,,,,,,,,
264,Robber baron (industrialist),nickname given to railroad executives due to shady practices of their businesses,"{'end_byte': 63749, 'end_token': 562, 'start_byte': 63736, 'start_token': 560}","{'end_byte': 58099, 'end_token': 117, 'start_byte': 58087, 'start_token': 115}",,,NONE,NONE,,
265,Jan Carew,who is the main character in black midas,,,,,,,,
266,Bobby Anderson (actor),who is young george bailey in it's a wonderful life,"{'end_byte': 45164, 'end_token': 185, 'start_byte': 45143, 'start_token': 182}","{'end_byte': 45164, 'end_token': 185, 'start_byte': 45143, 'start_token': 182}","{'end_byte': 45164, 'end_token': 185, 'start_byte': 45143, 'start_token': 182}","{'end_byte': 45164, 'end_token': 185, 'start_byte': 45143, 'start_token': 182}",NONE,NONE,NONE,NONE
267,Battle of Stirling Bridge,who won the battle of stirling bridge 1297,"{'end_byte': 58114, 'end_token': 478, 'start_byte': 57958, 'start_token': 470}","{'end_byte': 45305, 'end_token': 146, 'start_byte': 45289, 'start_token': 144}","{'end_byte': 58034, 'end_token': 475, 'start_byte': 58022, 'start_token': 473}",,NONE,NONE,NONE,
268,Daddy's Home 2,who plays dylan in daddy's home 2,"{'end_byte': 72385, 'end_token': 1946, 'start_byte': 72373, 'start_token': 1944}","{'end_byte': 72385, 'end_token': 1946, 'start_byte': 72373, 'start_token': 1944}","{'end_byte': 72385, 'end_token': 1946, 'start_byte': 72373, 'start_token': 1944}","{'end_byte': 72385, 'end_token': 1946, 'start_byte': 72373, 'start_token': 1944}",NONE,NONE,NONE,NONE
269,Powers of the United States Congress,which is not a power of the united states congress,,,,,,,,
270,Tablets of Stone,where is the tablet of the ten commandments,"{'end_byte': 49151, 'end_token': 462, 'start_byte': 49061, 'start_token': 456}","{'end_byte': 49151, 'end_token': 462, 'start_byte': 49132, 'start_token': 458}","{'end_byte': 49151, 'end_token': 462, 'start_byte': 49061, 'start_token': 456}",,NONE,NONE,NONE,
271,Chinatown bus lines,where does the chinatown bus stop in nyc,"{'end_byte': 75184, 'end_token': 2148, 'start_byte': 74945, 'start_token': 2130}",,,,,,,
272,Right to Buy,when did the right to buy scheme start,"{'end_byte': 61957, 'end_token': 563, 'start_byte': 61953, 'start_token': 562}","{'end_byte': 61957, 'end_token': 563, 'start_byte': 61953, 'start_token': 562}","{'end_byte': 55553, 'end_token': 116, 'start_byte': 55549, 'start_token': 115}","{'end_byte': 61957, 'end_token': 563, 'start_byte': 61953, 'start_token': 562}",NONE,NONE,NONE,NONE
273,Card security code,what is a cvv code on a visa gift card,"{'end_byte': 57424, 'end_token': 166, 'start_byte': 57091, 'start_token': 145}",,,,,,,
274,Barry & the Tamerlanes,i wonder what she's doing tonight barry and the tamerlanes,,,,,,,,
275,Intramural sports,what is the difference between intramural and interscholastic sports,,,,,,,,
276,Shot glass,how many ounces in one shot of liquor,,,,,,,,
277,See You in September,who sang will i see you in september,"{'end_byte': 60213, 'end_token': 282, 'start_byte': 59965, 'start_token': 276}",,,,,,,
278,Coinage of India,who issued gold coins for the first time in india,"{'end_byte': 141317, 'end_token': 4609, 'start_byte': 141305, 'start_token': 4607}",,,,,,,
279,Perfect 10 (gymnastics),highest olympic female score on the vault in the olympics,,,,,,,,
280,"List of players who have scored 10,000 or more runs in One Day International cricket",how many players have scored 10000 runs in odi,"{'end_byte': 90571, 'end_token': 1368, 'start_byte': 90569, 'start_token': 1367}","{'end_byte': 59871, 'end_token': 189, 'start_byte': 59865, 'start_token': 188}","{'end_byte': 59871, 'end_token': 189, 'start_byte': 59865, 'start_token': 188}",,NONE,NONE,NONE,
281,New Jersey Drive,what is the movie new jersey drive about,"{'end_byte': 58498, 'end_token': 224, 'start_byte': 58378, 'start_token': 214}","{'end_byte': 58498, 'end_token': 224, 'start_byte': 58378, 'start_token': 214}","{'end_byte': 58632, 'end_token': 237, 'start_byte': 58378, 'start_token': 214}",,NONE,NONE,NONE,
282,Telephone numbers in the United Kingdom,what do mobile numbers start with in the uk,,,,,,,,
283,Visa requirements for Ghanaian citizens,do ghanaians need visa to go to singapore,,,,,,,,
284,List of Formula One Grand Prix winners,who has won the most f1 grand prix,"{'end_byte': 54517, 'end_token': 477, 'start_byte': 54499, 'start_token': 475}","{'end_byte': 54517, 'end_token': 477, 'start_byte': 54499, 'start_token': 475}","{'end_byte': 63538, 'end_token': 982, 'start_byte': 63520, 'start_token': 980}","{'end_byte': 54517, 'end_token': 477, 'start_byte': 54499, 'start_token': 475}",NONE,NONE,NONE,NONE
285,Rajya Sabha,who is the present rajya sabha speaker of india,,,,,,,,
286,2018 Winter Olympics,what are all the teams in the winter olympics,,,,,,,,
287,List of Keeping Up with the Kardashians episodes,latest series of keeping up with the kardashians,"{'end_byte': 55236, 'end_token': 987, 'start_byte': 55234, 'start_token': 986}",,,,,,,
288,Keeping up with the Joneses,where does the saying keeping up with the jones come from,"{'end_byte': 44510, 'end_token': 162, 'start_byte': 44314, 'start_token': 154}","{'end_byte': 44510, 'end_token': 162, 'start_byte': 44314, 'start_token': 154}",,,NONE,NONE,,
289,Laura Haddock,who plays meredith quill in guardians of the galaxy 2,"{'end_byte': 57753, 'end_token': 116, 'start_byte': 57735, 'start_token': 113}","{'end_byte': 57753, 'end_token': 116, 'start_byte': 57735, 'start_token': 113}","{'end_byte': 57753, 'end_token': 116, 'start_byte': 57735, 'start_token': 113}","{'end_byte': 57753, 'end_token': 116, 'start_byte': 57735, 'start_token': 113}",NONE,NONE,NONE,NONE
290,Human trafficking in South Africa,identify any three causes of human trafficking in south africa,,,,,,,,
291,A Country Wedding,where was hallmark movie a country wedding filmed,,,,,,,,
292,Jonathan Cheban,who is the guy on keeping up with the kardashians,"{'end_byte': 43015, 'end_token': 99, 'start_byte': 43000, 'start_token': 97}","{'end_byte': 43015, 'end_token': 99, 'start_byte': 43000, 'start_token': 97}",,,NONE,NONE,,
293,List of National Football League career receptions leaders,who has the most catches in nfl history,"{'end_byte': 42539, 'end_token': 136, 'start_byte': 42529, 'start_token': 134}","{'end_byte': 42539, 'end_token': 136, 'start_byte': 42529, 'start_token': 134}","{'end_byte': 42539, 'end_token': 136, 'start_byte': 42529, 'start_token': 134}","{'end_byte': 42539, 'end_token': 136, 'start_byte': 42529, 'start_token': 134}",NONE,NONE,NONE,NONE
294,Main sequence,how does a star become a main sequence,,,,,,,,
